id	rank	name	childcount	min	max	mode	median	mean	stddev	sum16slist
8652	genus	Methylophilus	1	2	2	2	2	2.00	0.00	[2]
8653	genus	Roseovarius	1	2	2	2	2	2.00	0.00	[2]
8654	genus	Ectothiorhodospira	1	2	2	2	2	2.00	0.00	[2]
8655	genus	Aneurinibacillus	2	11	17		14.0	14.00	3.00	[11, 17]
8656	genus	Asticcacaulis	1	3	3	3	3	3.00	0.00	[3]
8657	genus	Leisingera	1	5	5	5	5	5.00	0.00	[5]
8658	genus	Acidilobus	1	1	1	1	1	1.00	0.00	[1]
8659	genus	Propionimicrobium	1	2	2	2	2	2.00	0.00	[2]
8660	genus	Salinarchaeum	1	1	1	1	1	1.00	0.00	[1]
8661	genus	Pseudohongiella	1	2	2	2	2	2.00	0.00	[2]
8662	genus	Gemmatimonas	3	1	2	2	2	1.67	0.47	[1, 2, 2]
8663	genus	Oceanisphaera	2	8	8	8	8.0	8.00	0.00	[8, 8]
8664	genus	Propionibacterium	29	2	6	3	3	3.10	0.88	[3, 3, 2, 3, 3, 2, 3, 3, 3, 3, 4, 3, 3, 3, 2, 6, 4, 3, 3, 3, 3, 4, 3, 3, 5, 4, 2, 2, 2]
8665	genus	Mannheimia	18	6	6	6	6.0	6.00	0.00	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]
8666	genus	Comamonas	5	2	9		4	4.60	2.42	[3, 9, 2, 5, 4]
8667	genus	Herbaspirillum	7	2	3	3	3	2.86	0.35	[3, 3, 2, 3, 3, 3, 3]
8668	genus	Macrococcus	4	4	5	5	5.0	4.75	0.43	[4, 5, 5, 5]
8669	genus	Xiphinematobacter	1	1	1	1	1	1.00	0.00	[1]
8670	genus	Paracoccus	5	2	4	3	3	3.00	0.63	[3, 4, 3, 2, 3]
8671	genus	Coriobacterium	1	2	2	2	2	2.00	0.00	[2]
8672	genus	Blastococcus	1	3	3	3	3	3.00	0.00	[3]
8673	genus	Chromobacterium	2	8	8	8	8.0	8.00	0.00	[8, 8]
8674	genus	Draconibacterium	1	2	2	2	2	2.00	0.00	[2]
8675	genus	Zunongwangia	1	3	3	3	3	3.00	0.00	[3]
8676	genus	Segniliparus	1	1	1	1	1	1.00	0.00	[1]
8677	genus	Basilea	1	3	3	3	3	3.00	0.00	[3]
8678	genus	Acidovorax	9	3	4	4	4	3.56	0.50	[3, 3, 3, 3, 4, 4, 4, 4, 4]
8679	genus	Megasphaera	1	7	7	7	7	7.00	0.00	[7]
8680	genus	Geosporobacter	1	11	11	11	11	11.00	0.00	[11]
8681	genus	Actinomyces	9	3	3	3	3	3.00	0.00	[3, 3, 3, 3, 3, 3, 3, 3, 3]
8682	genus	Croceibacter	1	2	2	2	2	2.00	0.00	[2]
8683	genus	Collimonas	7	3	3	3	3	3.00	0.00	[3, 3, 3, 3, 3, 3, 3]
8684	genus	Olsenella	3	1	2	2	2	1.67	0.47	[1, 2, 2]
8685	genus	Hoeflea	1	1	1	1	1	1.00	0.00	[1]
8686	genus	Alicyclobacillus	2	6	6	6	6.0	6.00	0.00	[6, 6]
8687	genus	Erwinia	9	7	7	7	7	7.00	0.00	[7, 7, 7, 7, 7, 7, 7, 7, 7]
8688	genus	Methanotorris	1	2	2	2	2	2.00	0.00	[2]
8689	genus	Microcella	1	1	1	1	1	1.00	0.00	[1]
8690	genus	Acholeplasma	10	2	4	2	2.0	2.20	0.60	[2, 2, 2, 2, 2, 2, 2, 4, 2, 2]
8691	genus	Defluviitoga	1	3	3	3	3	3.00	0.00	[3]
8692	genus	Petrimonas	1	2	2	2	2	2.00	0.00	[2]
8693	genus	Methanococcus	8	2	4	3	3.0	2.75	0.66	[2, 3, 3, 4, 2, 3, 3, 2]
8694	genus	Ketogulonicigenium	6	5	6	5	5.0	5.17	0.37	[5, 5, 5, 5, 5, 6]
