,Counts,Quant
HSM67VDR_P,21426526,5.693
HSM6XRUL,26840449,19.789251085
HSM6XRUN,26239170,119.1729465
HSM6XRUR,32641979,56.8146224265
HSM6XRQ8,32585625,11.4078418385
HSM7CZ16,14693772,37.403201089999996
HSM7CZ18,14089904,93.348933125
HSM7CZ1A,42668865,29.78098103
HSM7CZ1C,39897863,0.007501197
HSM7CZ1E,31593476,5.1771679865
HSM7CZ1G,22882811,13.42755699
HSM7J4HA,18395372,61.296698475
HSM7J4HC,30469574,130.19529996
HSM7J4HE,30949507,6.426862439
HSM7J4HG,15578912,150.47891479999998
HSM7J4HI,32377190,27.702957085
HSM7J4HK,21219997,19.4577541
HSM7J4KC,32236366,68.499513975
HSM7J4KG,17264556,2.4560973155
HSM7J4KI,28434811,126.4812079
HSM7J4KK,38617815,9.596539188000001
HSM7J4KM,24148115,116.2880276
